cp_category,cp_model,group_key,art_print,pp,product_id,rank,image_url
Печатные чехлы с картхолдером,Realme C31,H:8ca11983812225f5d4a829a76c46b765,V16391,ПП1,1173012245,51,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp1/V16391.webp
Матовые цветные чехлы для печати,Realme C31,H:8d6bd18ed4bc89a5831466bc8b7f5852,R60910,ПП1,1214824462,46,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp1/R60910.webp
Матовые цветные чехлы для печати,Realme C31,H:908e48a0d6ddf2ff45de8a360a11d181,R103614,ПП1,443977183,6,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp1/R103614.webp
Силиконовые чехлы,Realme C31,H:91ad49bc017ba585cc5c417f321085fc,C026,ПП1,572031302,55,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp1/S568.webp
Печатные чехлы с картхолдером,Realme C31,H:96570c660ee8b76afb079bb8ff7614f5,R103537,ПП1,1503193782,96,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp1/R103537.webp
Силиконовые чехлы,Realme C31,H:9f3a88323a6f5fac2cb9a21be7cba5a9,V102205,ПП1,572031733,96,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp1/V102205.webp
Силиконовые чехлы,Realme C31,H:a2e88fcd95ad2edaec0b5a6281f761cf,R102189,ПП1,187302024,93,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp1/R102189.webp
Печатные чехлы с картхолдером,Realme C31,H:a307f47e981fa42fbbfb14d3748f2d25,R103148,ПП1,1207438908,68,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp1/R103148.webp
Силиконовые чехлы,Realme C31,H:a6568be618c61dc5281ad1ea34c6f598,R103747,ПП1,495524006,12,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp1/R103747.webp
Силиконовые чехлы,Realme C31,H:ae78c781838fc31ff28121e7b24e228a,R102970,ПП1,247086589,39,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp1/R102970.webp
Матовые цветные чехлы для печати,Realme C31,H:bed79bdfa2e7dde20a5c9ca70f0e508b,V104813,ПП1,1181423902,81,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp1/V104813.webp
Матовые цветные чехлы для печати,Realme C31,H:c3c97ec1c1d6f999581a99bc11a083ce,V104233,ПП1,420258237,52,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp1/V104233.webp
Силиконовые чехлы,Realme C31,H:c90630062cce053df6575106a9c70b72,R102873,ПП1,348605833,94,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp1/R102873.webp
Силиконовые чехлы,Realme C31,H:ce64ccc8dc68935f8b41def88664f5c2,R103534,ПП1,572031667,40,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp1/R103534.webp
Матовые цветные чехлы для печати,Realme C31,H:d2d56a3bb6096e5993a7183c630431ae,V102405,ПП1,394527090,30,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp1/V102405.webp
Силиконовые чехлы,Realme C31,H:d9a4adecd04dcfeeb4f047179f89f614,C311,ПП1,572031383,30,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp1/S482.webp
Матовые цветные чехлы для печати,Realme C31,H:dad8b6bf0509f1ee9ec0fe3f7032bc24,V102395,ПП1,394527083,62,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp1/V102395.webp
